,name,categories,distance,latitude,longitude,address,rating
144,Belfast Love Public House,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'pubs', 'title': 'Pubs'}]",196.42133767952225,43.64515,-79.39847,548 King Street W,3.5
145,LCBO,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",197.00895058165983,43.64335862829955,-79.37140953706668,Queens Quay,4.0
146,Get Well,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",200.24664073788952,43.6491508,-79.4219437,1181 Dundas Street W,4.0
147,Tommy's Bar and Grill,"[{'alias': 'pubs', 'title': 'Pubs'}]",202.9201488352283,43.68179,-79.33192,1206 Danforth Avenue,2.0
148,Rorschach Brewing Company,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",204.91536674798687,43.66348,-79.31988,1001 Eastern Avenue,4.0
149,Granite Brewery & Restaurant,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",206.6964646804231,43.7079593226491,-79.3897995162387,245 Eglinton Avenue E,3.5
150,Communist's Daughter,"[{'alias': 'bars', 'title': 'Bars'}]",209.1451673619517,43.6492099,-79.42103,1149 Dundas Street W,4.0
151,Taverne Tamblyn,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",211.20486081118275,43.68278544751015,-79.32706929999999,1426 Danforth Avenue,4.0
152,High Park Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}]",224.13533189510952,43.6698993146465,-79.4834255799651,839 Runnymede Road,4.0
153,Gladstone House,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'lounges', 'title': 'Lounges'}]",227.01532282514404,43.6426812337086,-79.4268306344748,1214 Queen Street W,3.5
154,Her Father's Cider Bar & Kitchen,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",227.9298397574672,43.66232,-79.40453,119 Harbord Street,4.5
155,Wvrst,"[{'alias': 'german', 'title': 'German'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",233.2771380204236,43.64418555054,-79.401014855291,609 King Street W,4.0
156,Black Lab Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",234.58026723852768,43.661923,-79.328959,818 Eastern Avenue,4.5
157,416 Snack Bar,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'bars', 'title': 'Bars'}]",237.1468751719624,43.64755,-79.40385,181 Bathurst Street,4.0
158,Oddseoul,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",246.94704724889007,43.64617,-79.41973,90 Ossington Avenue,4.0
159,The Pour House Pub And Kitchen,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",247.95532810726024,43.6758,-79.40385,182 Dupont Street,3.0
160,The Greater Good Bar,"[{'alias': 'bars', 'title': 'Bars'}]",265.428467489379,43.6692689674341,-79.4390478949696,229 Geary Avenue,4.0
161,Labatt Breweries of Canada,"[{'alias': 'breweries', 'title': 'Breweries'}]",270.1613700560813,43.63877,-79.3806,207 Queens Quay W,4.0
162,Folly Brewpub,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",272.3367099018728,43.65401,-79.42591,928 College Street,4.0
163,Toronto Winter Brewfest,"[{'alias': 'festivals', 'title': 'Festivals'}]",279.6673856388209,43.63453,-79.41251,Enercare Centre,2.0
164,Reid's Distillery,"[{'alias': 'distilleries', 'title': 'Distilleries'}]",283.758720152994,43.6552,-79.34054,32 Logan Avenue,4.5
165,Cabin Fever,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'arcades', 'title': 'Arcades'}]",284.3341802559564,43.6553501508307,-79.4567192927358,1669 Bloor Street W,4.5
166,Brass Taps Pizza Pub,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'pubs', 'title': 'Pubs'}]",291.0122887421003,43.6539,-79.42613,934 College St,3.5
167,Whelan's Gate Gastropub,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",298.99031118608445,43.6552887,-79.4564438,1663 Bloor Street W,4.5
168,Sugo,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",302.24144007353493,43.65825,-79.44227,1281 Bloor Street W,4.5
169,Aurora Winter Festival,"[{'alias': 'festivals', 'title': 'Festivals'}]",304.39139585072473,43.6285241677313,-79.4134089455325,955 Lake Shore Blvd W,2.5
170,Toronto's Festival of Beer,"[{'alias': 'festivals', 'title': 'Festivals'}]",304.94114434189913,43.6328,-79.42193,Bandshell Park,4.0
171,The Wicket Bar,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",305.2221834796429,43.6554790883517,-79.4565081125878,1671 Bloor Street W,4.5
172,Saulter Street Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}]",320.573747236823,43.6583981085844,-79.3464022322122,1-31 Saulter Street,4.5
173,Louis Cifer Brew Works,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",321.03977452987124,43.67737,-79.35103,417 Danforth Avenue,3.0
174,Laylow Brewery,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",335.1662280723359,43.65249,-79.43385,1144 College Street,4.5
175,Halo Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}]",338.08246862215566,43.661792,-79.446468,247 Wallace Avenue,4.0
176,Gull & Firkin,"[{'alias': 'pubs', 'title': 'Pubs'}]",341.1325815499806,43.66924,-79.3026299,1943 Queen Street E,3.5
177,The Feathers Pub,"[{'alias': 'british', 'title': 'British'}, {'alias': 'pubs', 'title': 'Pubs'}]",343.8829717567704,43.68068,-79.2875,962 Kingston Road,3.5
178,Beaches Brewing Company,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",345.22683184304964,43.66935,-79.30229,1953 Queen Street E,3.5
179,Boardwalk Place,"[{'alias': 'pubs', 'title': 'Pubs'}]",348.9289013967193,43.6630096,-79.3108978,1675 Lake Shore Boulevard E,2.5
180,Bellwoods Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",352.9422110455171,43.64713,-79.42015,124-126 Ossington Avenue,4.0
181,The Stone Lion,"[{'alias': 'pubs', 'title': 'Pubs'}]",366.9133759677546,43.669559,-79.302306,1958 Queen Street E,3.0
182,Reposado Bar & Lounge,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",372.5403456006567,43.6472993,-79.4201635,136 Ossington Avenue,4.0
183,BarChef,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",389.26567884022126,43.6482201,-79.4001694,472 Queen Street W,4.5
184,Pepper's Cafe,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'portuguese', 'title': 'Portuguese'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",413.0564754484457,43.66218,-79.44457,189 Wallace Avenue,4.0
185,Mississauga Creative Craft Beer Festival,"[{'alias': 'festivals', 'title': 'Festivals'}]",414.5830906166891,43.6636220658323,-79.3090405,1352 Lakeshore Boulevard E,4.0
186,Le Conciliabule,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'bistros', 'title': 'Bistros'}]",469.4057790937696,43.671365,-79.3272249,1300 Gerrard Street E,4.5
187,The Green Dragon,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pubs', 'title': 'Pubs'}]",471.1385004665684,43.68097,-79.28474,1032 Kingston Road,4.0
188,Toronto Urban Adventures,"[{'alias': 'walkingtours', 'title': 'Walking Tours'}, {'alias': 'foodtours', 'title': 'Food Tours'}]",498.2403346687152,43.653226,-79.3831843,,5.0
189,Left Field Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}]",515.1419215116352,43.67379,-79.3304825,36 Wagstaff Drive,4.0
190,Rainhard Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",687.0232960062128,43.6725677,-79.4790013,100 Symes Road,4.5
191,Shacklands Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",687.0232960062128,43.67268,-79.4783,100 Symes Road,4.5
192,Junction Craft Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",690.6045637320148,43.6732047781224,-79.4786154986725,150 Symes Road,4.0
193,Brunswick Bierworks,"[{'alias': 'breweries', 'title': 'Breweries'}]",708.3412141109809,43.70984,-79.31753,25 Curity Avenue,5.0
194,Muddy York Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",760.6436075764458,43.7124,-79.31214,22 Cranfield Road,5.0
195,Great Lakes Brewery - Canada,"[{'alias': 'breweries', 'title': 'Breweries'}]",843.6186694520204,43.6224856,-79.5050499,30 Queen Elizabeth Boulevard,4.0
196,The Beer Store,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",937.5944551247223,43.7078705,-79.3624802,Laird Avenue,4.0
197,Odd Thomas,"[{'alias': 'bars', 'title': 'Bars'}]",957.2285122164952,43.6457685269101,-79.3906097251258,31 Mercer Street,2.5
198,Cool Beer Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",990.0972491231288,43.6191518,-79.5106746,164 Evans Avenue,4.0
199,Gabby’s King West,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",1009.142610927176,43.6463517,-79.3904852,309 King Street W,2.5
200,Amsterdam Brewery,"[{'alias': 'breweries', 'title': 'Breweries'}]",1105.2462757699031,43.7070332,-79.3573192,45 Esandar Dr.,4.0
201,Melrose On Adelaide,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",1164.6613724255124,43.64815,-79.38988,300 - 270 Adelaide Strret W,4.0
202,LCBO,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",1198.220919086113,43.7710852,-79.1861016,4525 Kingston Rd,2.0
203,Azure Restaurant & Bar,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",1209.9032903274992,43.64425877111892,-79.38526644307021,225 Front Street W,3.0
204,Jack Astor's,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",1376.91049687308,43.64540418,-79.38391596,144 Front Street West,3.0
