,name,categories,distance,latitude,longitude,address,rating
12,Bar Hop,"[{'alias': 'bars', 'title': 'Bars'}]",36.58347286706747,43.6455994,-79.3935471,391 King Street W,4.0
13,Henderson Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",37.49971255004079,43.65366802282883,-79.44475164655762,128A Sterling Road,4.0
14,The Mugshot Tavern,"[{'alias': 'bars', 'title': 'Bars'}]",38.26853414943493,43.6546,-79.45957,1729 Bloor Street W,4.0
15,Wasted Youth,"[{'alias': 'bars', 'title': 'Bars'}]",40.32191540592439,43.6625010050815,-79.4235806095242,834 Bloor St W,3.5
16,LOCAL Public Eatery - Liberty Village,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",40.79959512896683,43.6384689262493,-79.4192124903202,171 E Liberty Street,4.0
17,Bar Hop,"[{'alias': 'pubs', 'title': 'Pubs'}]",42.71617574878199,43.6491064981382,-79.3934956920754,137 Peter Street,3.5
18,Blood Brothers Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}]",44.47738986048234,43.66984,-79.4361799,165 Geary Avenue,4.0
19,Go Tours Canada,"[{'alias': 'walkingtours', 'title': 'Walking Tours'}]",45.40104578918661,43.649995,-79.3617002,11 Gristmill Lane,4.5
20,Handlebar,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",47.11592446975421,43.6528604406984,-79.4012188911438,159 Augusta Avenue,4.5
21,Pour Boy,"[{'alias': 'pubs', 'title': 'Pubs'}]",47.30375610356108,43.66434,-79.41621,666 Manning Avenue,3.5
22,3030,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",47.37335598409232,43.6658199,-79.47046,3030 Dundas Street W,3.0
23,RendezViews,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",48.269542839639456,43.64911,-79.3899,229 Richmond St W,3.5
24,JOEY Eaton Centre,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'steak', 'title': 'Steakhouses'}]",48.995839835709525,43.6558708964233,-79.382009190213,1 Dundas St W,3.5
25,The Commoner,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",51.83586888650815,43.65191,-79.44797,2067 Dundas Street W,4.0
26,The Aviary,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",52.3917097914884,43.65368,-79.35468,484 Front St E,3.0
27,Something in the Water,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",52.65780954466536,43.6384946,-79.417138843134,151 E Liberty Street,5.0
28,Eastbound Brewing,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",58.02381870323588,43.65901,-79.3502,700 Queen Street E,4.0
29,Page One,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",58.46424354249099,43.657853,-79.376254,106 Mutual Street,4.0
30,Spearhead Brewing Company,"[{'alias': 'breweries', 'title': 'Breweries'}]",58.5854811024476,43.6487,-79.38545,,4.0
31,Tallboys Craft Beer House,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'burgers', 'title': 'Burgers'}]",59.36036642204248,43.66256,-79.42382,838 Bloor Street W,4.0
32,Hunters Landing,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",60.94484835499256,43.64002,-79.39673,82 Fort York Blvd,3.5
33,The Local,"[{'alias': 'bars', 'title': 'Bars'}]",61.29339172992134,43.6510309,-79.4510022,396 Roncesvalles Avenue,3.5
