,fsq_id,categories,chains,distance,link,name,timezone,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,related_places.children,related_places.parent.fsq_id,related_places.parent.name
171,52418b0b7e48222eea81d2d2,"[{'id': 13199, 'name': 'Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}}]",[],505,/v3/places/52418b0b7e48222eea81d2d2,Pukka,America/Toronto,,,43.68112163005123,-79.42925333976746,,,778 St Clair Ave W,CA,at Arlington Ave,"778 St Clair Ave W (at Arlington Ave), Toronto ON M6C 1B6",Toronto,M6C 1B6,ON,,,,
172,4ae5077ef964a52018a021e3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}]",[],447,/v3/places/4ae5077ef964a52018a021e3,St. Louis Bar and Grill,America/Toronto,,,43.701556,-79.397534,43.701556,-79.397534,2050 Yonge St,CA,at Lola Rd.,"2050 Yonge St (at Lola Rd.), Toronto ON M4S 1Z9",Toronto,M4S 1Z9,ON,# 200,,,
173,4ad4c05ef964a520cbf620e3,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],744,/v3/places/4ad4c05ef964a520cbf620e3,Steam Whistle Brewing,America/Toronto,,,43.641025,-79.385267,43.641025,-79.385267,255 Bremner Blvd,CA,btwn Rees St. & Simcoe St.,"255 Bremner Blvd (btwn Rees St. & Simcoe St.), Toronto ON M5V 3M9",Toronto,M5V 3M9,ON,,"[{'fsq_id': '5c893d57a87921002c566a2d', 'name': 'Steam Whistle Biergarten'}]",4b642db1f964a520b7a22ae3,Roundhouse Park
174,5cba0934e96d0c002c2b37ff,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],597,/v3/places/5cba0934e96d0c002c2b37ff,Belgian Moon Brewery,America/Toronto,,,43.640531,-79.40365,43.640531,-79.40365,28 Bathurst St,CA,,"28 Bathurst St, Toronto ON M5V 0R4",Toronto,M5V 0R4,ON,,,5cae3bc7a2a6ce003947bf6d,Stackt Market
175,516da5e0e4b0ad66584cf170,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]",[],916,/v3/places/516da5e0e4b0ad66584cf170,Amsterdam BrewHouse,America/Toronto,,,43.63797,-79.384828,43.63797,-79.384828,245 Queens Quay W S,CA,at Reese St,"245 Queens Quay W S (at Reese St), Toronto ON M5J 2K9",Toronto,M5J 2K9,ON,,,,
176,59bacc07a4236259f0fbf005,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],809,/v3/places/59bacc07a4236259f0fbf005,Northern Maverick Brewing Co,America/Toronto,43.644883,-79.403074,43.644967,-79.402863,43.644967,-79.402863,115 Bathurst St,CA,at Adelaide St W,"115 Bathurst St (at Adelaide St W), Toronto ON M5V 2P9",Toronto,M5V 2P9,ON,,,,
177,62617b8795f68f0527a0d855,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],937,/v3/places/62617b8795f68f0527a0d855,Something in the Water Brewing Co,America/Toronto,,,43.637859,-79.38481,43.637859,-79.38481,245 Queens Quay W,CA,,"245 Queens Quay W, Toronto ON",Toronto,,ON,,,,
178,f94c2a400773472474357b67,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],791,/v3/places/f94c2a400773472474357b67,FastBrewing & WineMaking,,43.638999,-79.386111,43.639221,-79.386149,43.639221,-79.386149,264 Queens Quay W,CA,,"264 Queens Quay W, Toronto ON",Toronto,,ON,Unit 105,,,
179,4fcc0dd177167574f0de38d5,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],669,/v3/places/4fcc0dd177167574f0de38d5,Bar Hop,America/Toronto,,,43.645579,-79.393658,43.645579,-79.393658,391 King St W,CA,at Charlotte St,"391 King St W (at Charlotte St), Toronto ON M5V 1K1",Toronto,M5V 1K1,ON,,,,
180,4dcb3ddefa76d745f0514d24,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13058, 'name': 'Hot Dog Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/hotdog_', 'suffix': '.png'}}, {'id': 13165, 'name': 'German Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/german_', 'suffix': '.png'}}]",[],621,/v3/places/4dcb3ddefa76d745f0514d24,WVRST,America/Toronto,,,43.644181,-79.40054,43.644181,-79.40054,609 King St W,CA,btwn Bathurst & Portland St,"609 King St W (btwn Bathurst & Portland St), Toronto ON M5V 1M5",Toronto,M5V 1M5,ON,,,,
